id,name,X2019,TRACTCE,BLKGRPCE,TRACT-BG,City,City2,Hood
1500000US060730025022,"Block Group 2, Census Tract 25.02, San Diego County, California",2303,2502,2,2502-2,San Diego,San Diego,Azalea/Hollywood Park/Fairmont Park
1500000US060730025023,"Block Group 3, Census Tract 25.02, San Diego County, California",1465,2502,3,2502-3,San Diego,San Diego,Azalea/Hollywood Park/Fairmont Park
1500000US060730026011,"Block Group 1, Census Tract 26.01, San Diego County, California",1448,2601,1,2601-1,San Diego,San Diego,Fairmont Village
1500000US060730026012,"Block Group 2, Census Tract 26.01, San Diego County, California",2431,2601,2,2601-2,San Diego,San Diego,Fairmont Village
1500000US060730026013,"Block Group 3, Census Tract 26.01, San Diego County, California",1730,2601,3,2601-3,San Diego,San Diego,Fairmont Village
1500000US060730026021,"Block Group 1, Census Tract 26.02, San Diego County, California",1587,2602,1,2602-1,San Diego,San Diego,Swan Canyon
1500000US060730026022,"Block Group 2, Census Tract 26.02, San Diego County, California",1292,2602,2,2602-2,San Diego,San Diego,Swan Canyon
1500000US060730026023,"Block Group 3, Census Tract 26.02, San Diego County, California",1573,2602,3,2602-3,San Diego,San Diego,Swan Canyon
1500000US060730027021,"Block Group 1, Census Tract 27.02, San Diego County, California",1312,2702,1,2702-1,San Diego,San Diego,El Cerrito
1500000US060730027022,"Block Group 2, Census Tract 27.02, San Diego County, California",1558,2702,2,2702-2,San Diego,San Diego,El Cerrito
1500000US060730027023,"Block Group 3, Census Tract 27.02, San Diego County, California",3480,2702,3,2702-3,San Diego,San Diego,El Cerrito
1500000US060730027031,"Block Group 1, Census Tract 27.03, San Diego County, California",1673,2703,1,2703-1,San Diego,San Diego,Redwood Village/Rolando Park/Oak Park
1500000US060730027032,"Block Group 2, Census Tract 27.03, San Diego County, California",1541,2703,2,2703-2,San Diego,San Diego,Redwood Village/Rolando Park/Oak Park
1500000US060730027033,"Block Group 3, Census Tract 27.03, San Diego County, California",1732,2703,3,2703-3,San Diego,San Diego,Redwood Village/Rolando Park/Oak Park
1500000US060730027034,"Block Group 4, Census Tract 27.03, San Diego County, California",2137,2703,4,2703-4,San Diego,San Diego,Redwood Village/Rolando Park/Oak Park
1500000US060730027051,"Block Group 1, Census Tract 27.05, San Diego County, California",2512,2705,1,2705-1,San Diego,San Diego,Oak Park
1500000US060730027052,"Block Group 2, Census Tract 27.05, San Diego County, California",1621,2705,2,2705-2,San Diego,San Diego,Oak Park
1500000US060730027071,"Block Group 1, Census Tract 27.07, San Diego County, California",1376,2707,1,2707-1,San Diego,San Diego,Colina Del Sol
1500000US060730027072,"Block Group 2, Census Tract 27.07, San Diego County, California",1323,2707,2,2707-2,San Diego,San Diego,Colina Del Sol
1500000US060730027073,"Block Group 3, Census Tract 27.07, San Diego County, California",1120,2707,3,2707-3,San Diego,San Diego,Colina Del Sol
1500000US060730027074,"Block Group 4, Census Tract 27.07, San Diego County, California",1586,2707,4,2707-4,San Diego,San Diego,Colina Del Sol
1500000US060730027081,"Block Group 1, Census Tract 27.08, San Diego County, California",1459,2708,1,2708-1,San Diego,San Diego,Colina Del Sol
1500000US060730027082,"Block Group 2, Census Tract 27.08, San Diego County, California",282,2708,2,2708-2,San Diego,San Diego,Colina Del Sol
